"device_id","meldecode","meldeklasse","interndiagcode","kurztext_de","kurztext_2","kurztext_3","kurztext_4"
"1","21000","A","1","Traktion: +3 Trenner 3kV","Сил.Сх.: +3 разъединитель 3кВ","Поступило ДС 21000 Сил.Сх.: +3 разъединитель 3кВ","Более не активно ДС 21000 Сил.Сх.: +3 разъединитель 3кВ"
"1","21001","A","2","Traktion: +3 Trenner 3kV","Сил.Сх.: +3 разъединитель 3кВ","Поступило ДС 21001 Сил.Сх.: +3 разъединитель 3кВ","Более не активно ДС 21001 Сил.Сх.: +3 разъединитель 3кВ"
"1","21002","C","3","Traktion: +3 Trenner 3kV","Сил.Сх.: +3 разъединитель 3кВ","Поступило ДС 21002 Сил.Сх.: +3 разъединитель 3кВ","Более не активно ДС 21002 Сил.Сх.: +3 разъединитель 3кВ"
"1","21003","A","4","Traktion: +3 Trenner 3kV","Сил.Сх.: +3 разъединитель 3кВ","Поступило ДС 21003 Сил.Сх.: +3 разъединитель 3кВ","Более не активно ДС 21003 Сил.Сх.: +3 разъединитель 3кВ"
"1","21004","M","5","Traktion: +3 Trenner 3kV","Сил.Сх.: +3 разъединитель 3кВ","Разъединитель 3кВ заблокирован с ИЧМ","Разъединитель 3кВ разблокирован с ИЧМ"
"1","21005","A","6","Traktion: +3 Trenner 3kV","Сил.Сх.: +3 разъединитель 3кВ","Поступило ДС 21005 Сил.Сх.: +3 разъединитель 3кВ","Более не активно ДС 21005 Сил.Сх.: +3 разъединитель 3кВ"
"1","21006","A","7","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Поступило ДС 21006 Сил.Сх.: +5 разъединитель 25кВ","Более не активно ДС 21006 Сил.Сх.: +5 разъединитель 25кВ"
"1","21007","A","8","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Поступило ДС 21007 Сил.Сх.: +5 разъединитель 25кВ","Более не активно ДС 21007 Сил.Сх.: +5 разъединитель 25кВ"
"1","21008","C","9","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Поступило ДС 21008 Сил.Сх.: +5 разъединитель 25кВ","Более не активно ДС 21008 Сил.Сх.: +5 разъединитель 25кВ"
"1","21009","A","10","Traktion: +5 Trenner 25kV","Сил.Сх.: +5 разъединитель 25кВ","Поступило ДС 21009 Сил.Сх.: +5 разъединитель 25кВ","Более не активно ДС 21009 Сил.Сх.: +5 разъединитель 25кВ"
