messagecode,meldeklasse,priority,kurztext_2,kurztext_3,kurztext_4
21000,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21000 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21000 Сил.Сх.: +3 разъединитель 3кВ
21001,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21001 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21001 Сил.Сх.: +3 разъединитель 3кВ
21002,C,green,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21002 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21002 Сил.Сх.: +3 разъединитель 3кВ
21003,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21003 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21003 Сил.Сх.: +3 разъединитель 3кВ
21004,M,yellow,Сил.Сх.: +3 разъединитель 3кВ,Разъединитель 3кВ заблокирован с ИЧМ,Разъединитель 3кВ разблокирован с ИЧМ
21005,A,red,Сил.Сх.: +3 разъединитель 3кВ,Поступило ДС 21005 Сил.Сх.: +3 разъединитель 3кВ,Более не активно ДС 21005 Сил.Сх.: +3 разъединитель 3кВ
21006,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21006 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21006 Сил.Сх.: +5 разъединитель 25кВ
21007,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21007 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21007 Сил.Сх.: +5 разъединитель 25кВ
21008,C,green,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21008 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21008 Сил.Сх.: +5 разъединитель 25кВ
21009,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21009 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21009 Сил.Сх.: +5 разъединитель 25кВ
21010,M,yellow,Сил.Сх.: +5 разъединитель 25кВ,Разъединитель 25кВ заблокирован с ИЧМ,Разъединитель 25кВ разблокирован с ИЧМ
21011,A,red,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21011 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21011 Сил.Сх.: +5 разъединитель 25кВ
21012,M,yellow,Сил.Сх.: +5 разъединитель 25кВ,Поступило ДС 21012 Сил.Сх.: +5 разъединитель 25кВ,Более не активно ДС 21012 Сил.Сх.: +5 разъединитель 25кВ
21013,M,yellow,Сил.Сх.: Система распознавания рода тока,Поступило ДС 21013 Сил.Сх.: Система распознавания рода тока,Более не активно ДС 21013 Сил.Сх.: Система распознавания рода тока
21014,M,yellow,Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ,Поступило ДС 21014 Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ,Более не активно ДС 21014 Сил.Сх.: Ток перегрузки в крышевой проводке 25 кВ
21015,M,yellow,Сил.Сх.: Превышение разностного тока на линии 25 кВ,Поступило ДС 21015 Сил.Сх.: Превышение разностного тока на линии 25 кВ,Более не активно ДС 21015 Сил.Сх.: Превышение разностного тока на линии 25 кВ
21016,M,yellow,Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ,Поступило ДС 21016 Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ,Более не активно ДС 21016 Сил.Сх.: Ток перегрузки на шине отопления пост. тока 3 кВ
21017,M,yellow,Сил.Сх.: БЛОК выключил БВ/ГВ,Поступило ДС 21017 Сил.Сх.: БЛОК выключил БВ/ГВ,Более не активно ДС 21017 Сил.Сх.: БЛОК выключил БВ/ГВ
21018,M,yellow,АВАРИЙНАЯ ОСТАНОВКА,Нажата кнопка АВАРИЙНАЯ ОСТАНОВКА,Отпущена кнопка АВАРИЙНАЯ ОСТАНОВКА
21019,M,yellow,Сил.Сх.: +3 Ключ А приведен в действие,Сил.Сх.: +3 Ключ А приведен в действие,Сил.Сх.: +3 Ключ А приведен в действие вернули в исходное положение
21021,C,green,Сил.Сх.: +5 АЗВ разъединитель 25кВ,Поступило ДС 21021 Сил.Сх.: +5 АЗВ разъединитель 25кВ,Более не активно ДС 21021 Сил.Сх.: +5 АЗВ разъединитель 25кВ
21022,D,ignore,+1 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Поступило ДС 21022 +1 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Более не активно ДС 21022 +1 перекидной ключ токоприемника: ошибка резервирования в положении подъема
21023,D,ignore,+1 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Поступило ДС 21023 +1 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Более не активно ДС 21023 +1 перекидной ключ токоприемника: ошибка резервирования в положении опускания
21024,D,ignore,+2 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Поступило ДС 21024 +2 перекидной ключ токоприемника: ошибка резервирования в положении подъема,Более не активно ДС 21024 +2 перекидной ключ токоприемника: ошибка резервирования в положении подъема
21025,D,ignore,+2 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Поступило ДС 21025 +2 перекидной ключ токоприемника: ошибка резервирования в положении опускания,Более не активно ДС 21025 +2 перекидной ключ токоприемника: ошибка резервирования в положении опускания
21026,D,ignore,+1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Поступило ДС 21026 +1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Более не активно ДС 21026 +1 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.
21027,D,ignore,+1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Поступило ДС 21027 +1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Более не активно ДС 21027 +1 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.
21028,D,ignore,+2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Поступило ДС 21028 +2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.,Более не активно ДС 21028 +2 перекидной ключ главного выключателя: ошибка резервирования в положении вкл.
21029,D,ignore,+2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Поступило ДС 21029 +2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.,Более не активно ДС 21029 +2 перекидной ключ главного выключателя: ошибка резервирования в положении выкл.
21031,D,ignore,+5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A),Поступило ДС 21031 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A),Более не активно ДС 21031 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал A)
21032,D,ignore,+5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В),Поступило ДС 21032 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В),Более не активно ДС 21032 +5 разъединитель 25 кВ: неисправность системы подачи сигналов управления (канал В)
21033,D,ignore,"Ключ А, ошибка резервирования","Поступило ДС 21033 Ключ А, ошибка резервирования","Более не активно ДС 21033 Ключ А, ошибка резервирования"
21035,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Поступило ДС 21035 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения","Более не активно ДС 21035 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +3UWDS, неприемлемые значения"
21036,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Поступило ДС 21036 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения","Более не активно ДС 21036 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль +4UWDS, неприемлемые значения"
21037,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения","Поступило ДС 21037 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения","Более не активно ДС 21037 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 1, неприемлемые значения"
21038,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения","Поступило ДС 21038 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения","Более не активно ДС 21038 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт, ЦБУ, модуль UWPS, канал 2, неприемлемые значения"
21039,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Поступило ДС 21039 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения","Более не активно ДС 21039 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 2 (4-квадрантный регулятор), БУП 11, неприемлемые значения"
21040,D,ignore,"Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Поступило ДС 21040 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения","Более не активно ДС 21040 Отмена проверки петли главного выключателя перем. тока: коммутационный контакт 1 (импульсный инвертор), БУП 11, неприемлемые значения"
